GHG Forcing (Baseline 850 CE)
 Year  WMGHG
  850   0.0
  851  4.82201e-05
  852  7.93077e-05
  853  8.95132e-05
  854  1.12254e-05
  855  -8.60607e-05
  856  -0.000138507
  857  -0.000640857
  858  -0.000806513
  859  -0.000993064
  860  -0.00120051
  861  -0.00142886
  862  -0.00167431
  863  -0.00200646
  864  -0.00228803
  865  -0.0025829
  866  -0.00296073
  867  -0.00328414
  868  -0.00368674
  869  -0.00409888
  870  -0.00445467
  871  -0.00488589
  872  -0.00532286
  873  -0.00569965
  874  -0.00614811
  875  -0.00660043
  876  -0.00705471
  877  -0.00787241
  878  -0.00826079
  879  -0.00871713
  880  -0.00916973
  881  -0.00961859
  882  -0.0100637
  883  -0.0104352
  884  -0.0108671
  885  -0.0112915
  886  -0.0117065
  887  -0.0120439
  888  -0.0124381
  889  -0.0128171
  890  -0.0131166
  891  -0.0134672
  892  -0.0137345
  893  -0.0140529
  894  -0.0146457
  895  -0.0148561
  896  -0.0150475
  897  -0.0152824
  898  -0.0154283
  899  -0.0155514
  900  -0.0155835
  901  -0.0156629
  902  -0.0157253
  903  -0.0157686
  904  -0.0157266
  905  -0.0157396
  906  -0.0156711
  907  -0.0155893
  908  -0.0155643
  909  -0.0158251
  910  -0.0157148
  911  -0.0155969
  912  -0.0154753
  913  -0.0152796
  914  -0.0151484
  915  -0.0150173
  916  -0.0148179
  917  -0.0146868
  918  -0.0144912
  919  -0.0142993
  920  -0.0141113
  921  -0.0139309
  922  -0.0137581
  923  -0.0135929
  924  -0.0138027
  925  -0.0136603
  926  -0.0134628
  927  -0.0133489
  928  -0.0131838
  929  -0.0131021
  930  -0.0129712
  931  -0.0128611
  932  -0.0127701
  933  -0.0127037
  934  -0.0126601
  935  -0.0126412
  936  -0.0125825
  937  -0.0126187
  938  -0.0129768
  939  -0.0130718
  940  -0.0131329
  941  -0.0132243
  942  -0.0133518
  943  -0.0135155
  944  -0.0137171
  945  -0.0139549
  946  -0.0142289
  947  -0.014467
  948  -0.0147981
  949  -0.015082
  950  -0.015453
  951  -0.0157694
  952  -0.0164572
  953  -0.0168532
  954  -0.0171832
  955  -0.0175076
  956  -0.0178225
  957  -0.0181242
  958  -0.0184751
  959  -0.0187351
  960  -0.0189706
  961  -0.0192417
  962  -0.0194069
  963  -0.0196021
  964  -0.0196837
  965  -0.0197857
  966  -0.0201265
  967  -0.0201145
  968  -0.0200396
  969  -0.0199001
  970  -0.019694
  971  -0.0194911
  972  -0.0191594
  973  -0.0188348
  974  -0.0183853
  975  -0.0179503
  976  -0.0174621
  977  -0.0168549
  978  -0.0162679
  979  -0.0156334
  980  -0.0148894
  981  -0.0145334
  982  -0.0137756
  983  -0.012914
  984  -0.0120183
  985  -0.0111564
  986  -0.0101983
  987  -0.00920993
  988  -0.00819707
  989  -0.00716159
  990  -0.00603773
  991  -0.00496085
  992  -0.00380133
  993  -0.00262685
  994  -0.00144121
  995  -0.000176826
  996  0.000665293
  997  0.00200809
  998  0.00328872
  999  0.00463659
 1000  0.00598414
 1001  0.00732757
 1002  0.00873053
 1003  0.0101274
 1004  0.0115126
 1005  0.0129534
 1006  0.0144459
 1007  0.0158536
 1008  0.0173073
 1009  0.018734
 1010  0.0201319
 1011  0.021204
 1012  0.0225348
 1013  0.0238272
 1014  0.0250777
 1015  0.0262823
 1016  0.0274375
 1017  0.0285412
 1018  0.029521
 1019  0.0304439
 1020  0.0313022
 1021  0.0320274
 1022  0.0326845
 1023  0.0332695
 1024  0.0336456
 1025  0.0339404
 1026  0.0337955
 1027  0.0338153
 1028  0.0338658
 1029  0.0337755
 1030  0.0337023
 1031  0.0336059
 1032  0.0335814
 1033  0.0335866
 1034  0.0337165
 1035  0.0339291
 1036  0.0343173
 1037  0.0349113
 1038  0.0357204
 1039  0.0366647
 1040  0.0377899
 1041  0.0387186
 1042  0.0401523
 1043  0.0417119
 1044  0.0433763
 1045  0.045062
 1046  0.0468832
 1047  0.0487526
 1048  0.0506531
 1049  0.0524991
 1050  0.0544035
 1051  0.0562807
 1052  0.0581138
 1053  0.0598841
 1054  0.061636
 1055  0.0632877
 1056  0.0647537
 1057  0.0658518
 1058  0.0670873
 1059  0.0682168
 1060  0.0691811
 1061  0.0699858
 1062  0.0707074
 1063  0.0712865
 1064  0.0717324
 1065  0.0720547
 1066  0.0723277
 1067  0.0724939
 1068  0.0725608
 1069  0.0725358
 1070  0.0724322
 1071  0.0723205
 1072  0.0721432
 1073  0.0718446
 1074  0.0715641
 1075  0.0708819
 1076  0.070532
 1077  0.0701595
 1078  0.0697738
 1079  0.0693843
 1080  0.0689966
 1081  0.068622
 1082  0.0682011
 1083  0.0678751
 1084  0.0675884
 1085  0.06728
 1086  0.0670927
 1087  0.0669042
 1088  0.0667852
 1089  0.0667412
 1090  0.0667685
 1091  0.0667967
 1092  0.0669553
 1093  0.0671092
 1094  0.0673174
 1095  0.0675801
 1096  0.0678934
 1097  0.0678892
 1098  0.0682925
 1099  0.0687332
 1100  0.0692763
 1101  0.0697863
 1102  0.0703245
 1103  0.0709555
 1104  0.0715404
 1105  0.0722106
 1106  0.0728958
 1107  0.073594
 1108  0.0743682
 1109  0.0750868
 1110  0.0758795
 1111  0.0766796
 1112  0.0775519
 1113  0.0783611
 1114  0.0792387
 1115  0.0800515
 1116  0.0809289
 1117  0.0818061
 1118  0.0826795
 1119  0.0835471
 1120  0.0844773
 1121  0.0853316
 1122  0.0861764
 1123  0.0870781
 1124  0.0879021
 1125  0.0887774
 1126  0.089573
 1127  0.0904181
 1128  0.0911799
 1129  0.0919893
 1130  0.0923472
 1131  0.0931152
 1132  0.0937906
 1133  0.0944435
 1134  0.0951364
 1135  0.0957331
 1136  0.0963036
 1137  0.0968422
 1138  0.0972847
 1139  0.0977634
 1140  0.0981479
 1141  0.0985725
 1142  0.0989065
 1143  0.0992162
 1144  0.0995072
 1145  0.0997758
 1146  0.0999633
 1147  0.100198
 1148  0.100354
 1149  0.100563
 1150  0.100694
 1151  0.100814
 1152  0.100929
 1153  0.101036
 1154  0.101138
 1155  0.101171
 1156  0.101269
 1157  0.101369
 1158  0.101403
 1159  0.10144
 1160  0.101485
 1161  0.101599
 1162  0.101653
 1163  0.101645
 1164  0.101707
 1165  0.101772
 1166  0.101837
 1167  0.101839
 1168  0.101906
 1169  0.102268
 1170  0.102331
 1171  0.102326
 1172  0.10232
 1173  0.102308
 1174  0.102291
 1175  0.102267
 1176  0.102172
 1177  0.102134
 1178  0.102089
 1179  0.101968
 1180  0.101837
 1181  0.101762
 1182  0.101607
 1183  0.101441
 1184  0.10126
 1185  0.101
 1186  0.100789
 1187  0.100563
 1188  0.100255
 1189  0.0999271
 1190  0.099649
 1191  0.0992841
 1192  0.0988985
 1193  0.0984924
 1194  0.0980639
 1195  0.0975428
 1196  0.0970637
 1197  0.0964902
 1198  0.095953
 1199  0.0953177
 1200  0.0950111
 1201  0.0943083
 1202  0.0934997
 1203  0.0927182
 1204  0.0918308
 1205  0.0908984
 1206  0.0899228
 1207  0.0889003
 1208  0.087829
 1209  0.086644
 1210  0.0854158
 1211  0.0841461
 1212  0.0828387
 1213  0.0814324
 1214  0.0800625
 1215  0.0785993
 1216  0.0771781
 1217  0.0756709
 1218  0.0742153
 1219  0.0726792
 1220  0.0711332
 1221  0.0700105
 1222  0.0684543
 1223  0.0669685
 1224  0.065486
 1225  0.0639434
 1226  0.0624807
 1227  0.061098
 1228  0.0596683
 1229  0.0583261
 1230  0.0570099
 1231  0.0557235
 1232  0.0545341
 1233  0.0533147
 1234  0.0522693
 1235  0.0511975
 1236  0.0502419
 1237  0.0494005
 1238  0.0486136
 1239  0.048247
 1240  0.0476439
 1241  0.0471045
 1242  0.0467004
 1243  0.046435
 1244  0.046243
 1245  0.0461281
 1246  0.0462308
 1247  0.0464161
 1248  0.0466729
 1249  0.0470534
 1250  0.047537
 1251  0.0481084
 1252  0.0486796
 1253  0.049301
 1254  0.0502486
 1255  0.0507811
 1256  0.051311
 1257  0.0517503
 1258  0.0520821
 1259  0.0523677
 1260  0.0525495
 1261  0.0526331
 1262  0.0527004
 1263  0.0526231
 1264  0.0525444
 1265  0.0523419
 1266  0.0521585
 1267  0.0518702
 1268  0.0519799
 1269  0.0516415
 1270  0.0513596
 1271  0.0510106
 1272  0.0506704
 1273  0.0502822
 1274  0.0499217
 1275  0.0496003
 1276  0.0493238
 1277  0.0490371
 1278  0.0488048
 1279  0.0485663
 1280  0.048388
 1281  0.0486318
 1282  0.0485114
 1283  0.048455
 1284  0.0483984
 1285  0.0484116
 1286  0.0484266
 1287  0.0485132
 1288  0.0486715
 1289  0.0488393
 1290  0.0490825
 1291  0.0494031
 1292  0.0497351
 1293  0.0500822
 1294  0.0509402
 1295  0.0514533
 1296  0.0519853
 1297  0.0526039
 1298  0.0533092
 1299  0.0540407
 1300  0.0548607
 1301  0.0557748
 1302  0.0567168
 1303  0.0577546
 1304  0.0588881
 1305  0.060055
 1306  0.061323
 1307  0.0630522
 1308  0.0644468
 1309  0.0659141
 1310  0.0673727
 1311  0.0688681
 1312  0.0703814
 1313  0.0718958
 1314  0.0733905
 1315  0.0747824
 1316  0.0761854
 1317  0.0774499
 1318  0.0786199
 1319  0.0800424
 1320  0.0809749
 1321  0.0817608
 1322  0.0823794
 1323  0.082816
 1324  0.08305
 1325  0.0830628
 1326  0.0829043
 1327  0.0824225
 1328  0.081732
 1329  0.0807474
 1330  0.0794518
 1331  0.0778949
 1332  0.0763272
 1333  0.0741829
 1334  0.0718517
 1335  0.0692295
 1336  0.0664743
 1337  0.0636158
 1338  0.0605462
 1339  0.0574274
 1340  0.0542204
 1341  0.0509515
 1342  0.0476506
 1343  0.0444112
 1344  0.0411944
 1345  0.0380268
 1346  0.0353673
 1347  0.032385
 1348  0.0296023
 1349  0.0269846
 1350  0.0245565
 1351  0.0223336
 1352  0.0203794
 1353  0.0186175
 1354  0.0170406
 1355  0.0156432
 1356  0.0144829
 1357  0.0134853
 1358  0.0126448
 1359  0.0120172
 1360  0.0115315
 1361  0.0116053
 1362  0.0113774
 1363  0.011332
 1364  0.0114655
 1365  0.0116324
 1366  0.011961
 1367  0.0123749
 1368  0.0128683
 1369  0.0134336
 1370  0.0140614
 1371  0.014746
 1372  0.0154797
 1373  0.0162512
 1374  0.0170566
 1375  0.0178198
 1376  0.0186686
 1377  0.01946
 1378  0.0206795
 1379  0.0214669
 1380  0.0221741
 1381  0.0229272
 1382  0.023585
 1383  0.0241401
 1384  0.0247164
 1385  0.0251102
 1386  0.0255099
 1387  0.0257082
 1388  0.0259013
 1389  0.0258758
 1390  0.0257632
 1391  0.0255522
 1392  0.0251112
 1393  0.0245868
 1394  0.0239867
 1395  0.0232572
 1396  0.0224077
 1397  0.0215851
 1398  0.0206632
 1399  0.0197203
 1400  0.0187696
 1401  0.0178875
 1402  0.0169514
 1403  0.0164665
 1404  0.0156539
 1405  0.0149556
 1406  0.0143792
 1407  0.013869
 1408  0.0135055
 1409  0.0132982
 1410  0.0132584
 1411  0.0133956
 1412  0.0137212
 1413  0.014239
 1414  0.0150139
 1415  0.0159789
 1416  0.0170686
 1417  0.0184151
 1418  0.0198823
 1419  0.021539
 1420  0.0233831
 1421  0.0253475
 1422  0.0274321
 1423  0.029635
 1424  0.031958
 1425  0.0343991
 1426  0.0368915
 1427  0.0395
 1428  0.0422263
 1429  0.0450019
 1430  0.0478174
 1431  0.0505464
 1432  0.0530346
 1433  0.0553182
 1434  0.057267
 1435  0.0590118
 1436  0.0604923
 1437  0.0617085
 1438  0.0627288
 1439  0.063487
 1440  0.0639852
 1441  0.0642932
 1442  0.0644113
 1443  0.0642751
 1444  0.0639526
 1445  0.0633775
 1446  0.0626862
 1447  0.061746
 1448  0.0606231
 1449  0.0592567
 1450  0.0577813
 1451  0.0561455
 1452  0.0543717
 1453  0.0524103
 1454  0.0504187
 1455  0.0482826
 1456  0.0461557
 1457  0.0439257
 1458  0.0416114
 1459  0.0393665
 1460  0.0370807
 1461  0.0347729
 1462  0.032595
 1463  0.0304387
 1464  0.0283875
 1465  0.0265311
 1466  0.0247549
 1467  0.0232154
 1468  0.0219316
 1469  0.0208559
 1470  0.0200779
 1471  0.0195365
 1472  0.0189907
 1473  0.0190873
 1474  0.0193885
 1475  0.0199497
 1476  0.0207594
 1477  0.02181
 1478  0.0230194
 1479  0.0245135
 1480  0.0260806
 1481  0.0279111
 1482  0.0297917
 1483  0.0319146
 1484  0.0340647
 1485  0.0364359
 1486  0.0388171
 1487  0.0413281
 1488  0.0438927
 1489  0.0465679
 1490  0.0492739
 1491  0.0520032
 1492  0.0547445
 1493  0.0574863
 1494  0.0598559
 1495  0.0626332
 1496  0.0653148
 1497  0.0679538
 1498  0.0705409
 1499  0.0730667
 1500  0.0755182
 1501  0.0778879
 1502  0.0801627
 1503  0.082277
 1504  0.084293
 1505  0.0861525
 1506  0.0879214
 1507  0.0895378
 1508  0.090706
 1509  0.0920235
 1510  0.0932584
 1511  0.0944181
 1512  0.0953696
 1513  0.0963135
 1514  0.097055
 1515  0.0977946
 1516  0.0983375
 1517  0.0988823
 1518  0.0992997
 1519  0.0992973
 1520  0.0995986
 1521  0.0997819
 1522  0.0999148
 1523  0.100061
 1524  0.100096
 1525  0.100087
 1526  0.100102
 1527  0.10001
 1528  0.0995846
 1529  0.0994854
 1530  0.0993544
 1531  0.0992572
 1532  0.0991244
 1533  0.0989579
 1534  0.0988213
 1535  0.0982835
 1536  0.0980664
 1537  0.0978717
 1538  0.0976358
 1539  0.0974184
 1540  0.0970867
 1541  0.0967736
 1542  0.0961114
 1543  0.095695
 1544  0.0952876
 1545  0.0947583
 1546  0.0942381
 1547  0.0936575
 1548  0.0930168
 1549  0.0919481
 1550  0.0911139
 1551  0.0902847
 1552  0.0893523
 1553  0.0884698
 1554  0.0874622
 1555  0.0861204
 1556  0.085126
 1557  0.0841375
 1558  0.0831106
 1559  0.0821349
 1560  0.0811659
 1561  0.0802894
 1562  0.0793713
 1563  0.0781569
 1564  0.0772156
 1565  0.0762946
 1566  0.0753675
 1567  0.0744154
 1568  0.073346
 1569  0.0722696
 1570  0.0711618
 1571  0.06957
 1572  0.0683314
 1573  0.0669259
