4) Land use/Land Cover change (to 1992) (baseline pristine conditions)
        PEA      KK10
 850   -0.012   -0.052
 851   -0.012   -0.052
 852   -0.012   -0.052
 853   -0.012   -0.052
 854   -0.012   -0.052
 855   -0.012   -0.052
 856   -0.012   -0.052
 857   -0.012   -0.052
 858   -0.012   -0.052
 859   -0.012   -0.052
 860   -0.012   -0.052
 861   -0.012   -0.052
 862   -0.012   -0.052
 863   -0.012   -0.052
 864   -0.012   -0.052
 865   -0.012   -0.052
 866   -0.012   -0.052
 867   -0.012   -0.052
 868   -0.012   -0.052
 869   -0.012   -0.052
 870   -0.012   -0.052
 871   -0.012   -0.052
 872   -0.012   -0.052
 873   -0.013   -0.052
 874   -0.013   -0.052
 875   -0.013   -0.052
 876   -0.013   -0.052
 877   -0.013   -0.052
 878   -0.013   -0.052
 879   -0.013   -0.052
 880   -0.013   -0.052
 881   -0.013   -0.052
 882   -0.013   -0.052
 883   -0.013   -0.052
 884   -0.013   -0.052
 885   -0.013   -0.052
 886   -0.013   -0.052
 887   -0.013   -0.052
 888   -0.013   -0.052
 889   -0.013   -0.052
 890   -0.013   -0.052
 891   -0.013   -0.052
 892   -0.013   -0.052
 893   -0.013   -0.052
 894   -0.013   -0.052
 895   -0.013   -0.052
 896   -0.013   -0.052
 897   -0.013   -0.052
 898   -0.013   -0.052
 899   -0.013   -0.052
 900   -0.013   -0.052
 901   -0.013   -0.052
 902   -0.013   -0.052
 903   -0.013   -0.052
 904   -0.013   -0.052
 905   -0.013   -0.052
 906   -0.013   -0.052
 907   -0.013   -0.052
 908   -0.013   -0.052
 909   -0.013   -0.052
 910   -0.013   -0.052
 911   -0.013   -0.052
 912   -0.013   -0.052
 913   -0.013   -0.052
 914   -0.013   -0.052
 915   -0.013   -0.052
 916   -0.013   -0.052
 917   -0.013   -0.052
 918   -0.013   -0.052
 919   -0.013   -0.052
 920   -0.013   -0.052
 921   -0.013   -0.052
 922   -0.013   -0.052
 923   -0.013   -0.052
 924   -0.013   -0.052
 925   -0.013   -0.052
 926   -0.013   -0.052
 927   -0.013   -0.052
 928   -0.013   -0.052
 929   -0.013   -0.052
 930   -0.013   -0.052
 931   -0.013   -0.052
 932   -0.013   -0.052
 933   -0.013   -0.052
 934   -0.013   -0.052
 935   -0.013   -0.052
 936   -0.013   -0.052
 937   -0.013   -0.052
 938   -0.013   -0.052
 939   -0.013   -0.052
 940   -0.013   -0.052
 941   -0.013   -0.052
 942   -0.013   -0.052
 943   -0.013   -0.052
 944   -0.014   -0.052
 945   -0.014   -0.052
 946   -0.014   -0.052
 947   -0.014   -0.052
 948   -0.014   -0.052
 949   -0.014   -0.052
 950   -0.014   -0.052
 951   -0.014   -0.052
 952   -0.014   -0.052
 953   -0.014   -0.052
 954   -0.014   -0.053
 955   -0.014   -0.053
 956   -0.014   -0.053
 957   -0.014   -0.053
 958   -0.014   -0.053
 959   -0.014   -0.054
 960   -0.014   -0.054
 961   -0.014   -0.054
 962   -0.014   -0.054
 963   -0.014   -0.054
 964   -0.014   -0.055
 965   -0.014   -0.055
 966   -0.014   -0.055
 967   -0.014   -0.055
 968   -0.014   -0.055
 969   -0.014   -0.056
 970   -0.014   -0.056
 971   -0.014   -0.056
 972   -0.014   -0.056
 973   -0.014   -0.056
 974   -0.014   -0.057
 975   -0.014   -0.057
 976   -0.014   -0.057
 977   -0.014   -0.057
 978   -0.014   -0.057
 979   -0.014   -0.058
 980   -0.014   -0.058
 981   -0.014   -0.058
 982   -0.014   -0.058
 983   -0.014   -0.058
 984   -0.014   -0.059
 985   -0.014   -0.059
 986   -0.014   -0.059
 987   -0.014   -0.059
 988   -0.014   -0.059
 989   -0.014   -0.060
 990   -0.014   -0.060
 991   -0.014   -0.060
 992   -0.014   -0.060
 993   -0.014   -0.060
 994   -0.014   -0.061
 995   -0.014   -0.061
 996   -0.014   -0.061
 997   -0.014   -0.061
 998   -0.014   -0.061
 999   -0.014   -0.062
1000   -0.014   -0.062
1001   -0.014   -0.062
1002   -0.014   -0.062
1003   -0.014   -0.062
1004   -0.014   -0.063
1005   -0.014   -0.063
1006   -0.014   -0.063
1007   -0.014   -0.063
1008   -0.014   -0.063
1009   -0.015   -0.064
1010   -0.015   -0.064
1011   -0.015   -0.064
1012   -0.015   -0.064
1013   -0.015   -0.064
1014   -0.015   -0.065
1015   -0.015   -0.065
1016   -0.015   -0.065
1017   -0.015   -0.065
1018   -0.015   -0.065
1019   -0.015   -0.066
1020   -0.015   -0.066
1021   -0.015   -0.066
1022   -0.015   -0.066
1023   -0.015   -0.066
1024   -0.015   -0.067
1025   -0.015   -0.067
1026   -0.015   -0.067
1027   -0.015   -0.067
1028   -0.015   -0.067
1029   -0.015   -0.068
1030   -0.015   -0.068
1031   -0.015   -0.068
1032   -0.015   -0.068
1033   -0.015   -0.068
1034   -0.015   -0.069
1035   -0.015   -0.069
1036   -0.015   -0.069
1037   -0.015   -0.069
1038   -0.015   -0.069
1039   -0.015   -0.070
1040   -0.015   -0.070
1041   -0.015   -0.070
1042   -0.015   -0.070
1043   -0.015   -0.070
1044   -0.015   -0.071
1045   -0.015   -0.071
1046   -0.015   -0.071
1047   -0.015   -0.071
1048   -0.015   -0.071
1049   -0.015   -0.072
1050   -0.016   -0.072
1051   -0.016   -0.072
1052   -0.016   -0.072
1053   -0.016   -0.072
1054   -0.016   -0.072
1055   -0.016   -0.072
1056   -0.016   -0.072
1057   -0.016   -0.072
1058   -0.016   -0.073
1059   -0.016   -0.073
1060   -0.016   -0.073
1061   -0.016   -0.073
1062   -0.016   -0.073
1063   -0.016   -0.073
1064   -0.016   -0.073
1065   -0.016   -0.073
1066   -0.016   -0.073
1067   -0.016   -0.073
1068   -0.016   -0.074
1069   -0.016   -0.074
1070   -0.016   -0.074
1071   -0.016   -0.074
1072   -0.016   -0.074
1073   -0.016   -0.074
1074   -0.016   -0.074
1075   -0.016   -0.074
1076   -0.016   -0.074
1077   -0.016   -0.074
1078   -0.016   -0.075
1079   -0.016   -0.075
1080   -0.016   -0.075
1081   -0.016   -0.075
1082   -0.016   -0.075
1083   -0.016   -0.075
1084   -0.016   -0.075
1085   -0.016   -0.075
1086   -0.016   -0.075
1087   -0.016   -0.075
1088   -0.016   -0.076
1089   -0.016   -0.076
1090   -0.016   -0.076
1091   -0.017   -0.076
1092   -0.017   -0.076
1093   -0.017   -0.076
1094   -0.017   -0.076
