Volcanic forcing (absolute W/m2) 
 year   GRA       CEA
 850    0.0000   -0.1295
 851    0.0000   -0.3546
 852    0.0000   -0.0811
 853    0.0000   -0.0181
 854    0.0000   -1.4941
 855   -1.7476   -1.2044
 856   -1.0290   -0.4430
 857   -0.1920   -0.1630
 858   -0.0329   -0.2133
 859   -0.0055   -0.0469
 860   -0.0004   -0.0104
 861    0.0000   -0.0014
 862    0.0000    0.0000
 863    0.0000    0.0000
 864    0.0000    0.0000
 865    0.0000    0.0000
 866    0.0000    0.0000
 867    0.0000    0.0000
 868    0.0000    0.0000
 869    0.0000    0.0000
 870    0.0000    0.0000
 871   -1.7162    0.0000
 872   -1.0397    0.0000
 873   -0.1953    0.0000
 874   -0.0335   -0.3925
 875   -0.0056   -0.1282
 876   -0.0004   -0.0953
 877    0.0000   -0.0215
 878   -0.2738   -0.0039
 879   -0.1821   -0.0004
 880   -0.0349    0.0000
 881   -0.0060   -0.1617
 882   -0.0010   -0.0484
 883   -0.0001   -0.0108
 884    0.0000   -0.0014
 885    0.0000    0.0000
 886    0.0000    0.0000
 887    0.0000    0.0000
 888    0.0000    0.0000
 889    0.0000    0.0000
 890    0.0000    0.0000
 891    0.0000    0.0000
 892    0.0000    0.0000
 893    0.0000    0.0000
 894   -0.1817    0.0000
 895   -0.1208    0.0000
 896   -0.0232   -0.5383
 897   -0.0040   -2.1504
 898   -0.0007   -0.8881
 899   -0.3039   -0.3268
 900   -0.2021   -0.1202
 901   -0.0387   -0.1571
 902   -1.5807   -0.0393
 903   -0.9732   -0.1564
 904   -0.1835   -0.0451
 905   -0.0315   -0.0098
 906   -0.0053   -0.0013
 907   -0.0004   -0.0823
 908    0.0000   -0.0222
 909    0.0000   -0.0050
 910    0.0000   -0.0006
 911    0.0000   -0.6296
 912    0.0000   -0.2087
 913    0.0000   -0.0465
 914    0.0000   -0.0068
 915    0.0000    0.0000
 916    0.0000    0.0000
 917    0.0000    0.0000
 918    0.0000   -0.2273
 919    0.0000   -0.0710
 920    0.0000   -0.0158
 921    0.0000   -0.0022
 922    0.0000    0.0000
 923    0.0000    0.0000
 924    0.0000   -0.3411
 925    0.0000   -0.1087
 926    0.0000   -0.0243
 927    0.0000   -0.0034
 928    0.0000    0.0000
 929    0.0000    0.0000
 930   -0.8472    0.0000
 931   -0.4532    0.0000
 932   -0.0825    0.0000
 933   -0.0141    0.0000
 934   -2.0353    0.0000
 935   -1.3531    0.0000
 936   -0.2593    0.0000
 937   -0.0447    0.0000
 938   -0.0075    0.0000
 939   -0.0005   -0.1213
 940   -0.1319   -0.4505
 941   -0.0706   -0.2962
 942   -0.0129   -0.0654
 943   -0.0022   -0.0127
 944   -0.0004    0.0000
 945   -0.0000    0.0000
 946   -0.2962    0.0000
 947   -0.1628   -0.2597
 948   -0.0294   -0.1719
 949   -0.0050   -0.0384
